"ID","Title","Assigned To","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C10","Проверка ШАГА 1 формы для ввода никнейма/email при регистрации нового пользователя",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","Приложение LiveLib установлено на смартфон. Пользователь не зарегистрирован в системе.","Critical","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Запустить приложение в смартфоне.




Expected Result:
Открыта страница для ввода e-mail/пароля.
        ◦ Наличие поля для ввода никнейма/email
        ◦ Наличие плейсхолдера &laquo;Ввести e-mail или никнейм&raquo;
          Наличие неактивной кнопки Продолжить
        ◦ В нижней части формы наличие ссылки согласия с условиями обслуживания
","","Открыта страница для ввода e-mail/пароля.
        ◦ Наличие поля для ввода никнейма/email
        ◦ Наличие плейсхолдера &laquo;Ввести e-mail или никнейм&raquo;
          Наличие неактивной кнопки Продолжить
        ◦ В нижней части формы наличие ссылки согласия с условиями обслуживания
","","","Запустить приложение в смартфоне.



","Master","S1","Test Case (Steps)","Functional","Julia M","11/28/2024 6:10 PM"
"","","","","","","","","","","","","","","","","","","","Ввести никнейм """"тестовы414тест"""", который не существует в системе, в поле для ввода.
Нажать кнопку """"Продолжить"""".
 


Expected Result:
Отображается всплывающее сообщение """"Пользователь с таким именем не найден"""".
Кнопка """"Продолжить"""" остается неактивной.","","Отображается всплывающее сообщение ""Пользователь с таким именем не найден"".
Кнопка ""Продолжить"" остается неактивной.","","","Ввести никнейм ""тестовы414тест"", который не существует в системе, в поле для ввода.
Нажать кнопку ""Продолжить"".
 

","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поле. Ввести некорректный email (например, &laquo;no-email@mal.ru&raquo;) в поле для ввода.
Нажать кнопку """"Продолжить"""".




Expected Result:
Отображается сообщение """"некорректный e-mail"""", а кнопка """"Продолжить"""" остается неактивной.","","Отображается сообщение ""некорректный e-mail"", а кнопка ""Продолжить"" остается неактивной.","","","Очистить поле. Ввести некорректный email (например, &laquo;no-email@mal.ru&raquo;) в поле для ввода.
Нажать кнопку ""Продолжить"".



","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поле. Оставить поле ввода пустым.





Expected Result:
Кнопка """"Продолжить"""" неактивна.","","Кнопка ""Продолжить"" неактивна.","","","Очистить поле. Оставить поле ввода пустым.




","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ввести корректный email, который не существует в системе """"vladikshololadik@mail.ru"""", в поле для ввода. Нажать на ссылку согласия с условиями обслуживания 


 ![](index.php?/attachments/get/509ca9b0-46a5-495c-949c-c7b5333488b1) 

Expected Result:
Открыто окно с условиями обслуживания с тремя ссылками: Политика обработки данных, согласие на рассылку, Пользовательское соглашение.

  

 ![](index.php?/attachments/get/509ca9b0-46a5-495c-949c-c7b5333488b1) 

","","Открыто окно с условиями обслуживания с тремя ссылками: Политика обработки данных, согласие на рассылку, Пользовательское соглашение.

  

 ![](index.php?/attachments/get/509ca9b0-46a5-495c-949c-c7b5333488b1) 

","","","Ввести корректный email, который не существует в системе ""vladikshololadik@mail.ru"", в поле для ввода. Нажать на ссылку согласия с условиями обслуживания 


 ![](index.php?/attachments/get/509ca9b0-46a5-495c-949c-c7b5333488b1) 
","","","","","",""
"","","","","","","","","","","","","","","","","","","","Проверить поочередно три ссылки
Expected Result:
Открывается текст по каждой из ссылок.","","Открывается текст по каждой из ссылок.","","","Проверить поочередно три ссылки","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать кнопку Продолжить
Expected Result:
Пользователь переходит на следующий шаг регистрации для ввода Фамилии и имени.","","Пользователь переходит на следующий шаг регистрации для ввода Фамилии и имени.","","","Нажать кнопку Продолжить","","","","","",""
"C11","Проверка ШАГА 2 формы ввода ФИО при регистрации нового пользователя",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","
								 Установлено приложение Livelib. Пользователь НЕ зарегистрирован в приложении. Пройден шаг1: введен ник/email.
							","Critical","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма ввода ФИО.



Expected Result:
 Наличие полей имени и фамилии   
 плейсхолдеры &laquo;Имя&raquo;, &laquo;Фамилия&raquo;.
 Наличие Кнопки &laquo;Продолжить&raquo;.",""," Наличие полей имени и фамилии   
 плейсхолдеры &laquo;Имя&raquo;, &laquo;Фамилия&raquo;.
 Наличие Кнопки &laquo;Продолжить&raquo;.","","","Открыта форма ввода ФИО.


","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/25/2024 7:38 PM"
"","","","","","","","","","","","","","","","","","","","Ввести имя и фамилию, используя буквы латинского или русского алфавита любого регистра,  в поля """"Фамилия"""" и """"Имя"""" длиной от 2 до 10 символов.

Ivanov Ruslan
Иванов Руслан
иванов руслан
ИВАНОВ РУСЛАН
Ян По




Expected Result:
Поля корректно принимают введенные символы. Кнопка Продолжить активна.","","Поля корректно принимают введенные символы. Кнопка Продолжить активна.","","","Ввести имя и фамилию, используя буквы латинского или русского алфавита любого регистра,  в поля ""Фамилия"" и ""Имя"" длиной от 2 до 10 символов.

Ivanov Ruslan
Иванов Руслан
иванов руслан
ИВАНОВ РУСЛАН
Ян По



","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поля. 
Ввести 1 символ в поле """"Фамилия"""" и/или """"Имя"""".



Expected Result:
Отображается всплывающее сообщение """"Данные некорректны. Введите полные имя и фамилию"""".
Кнопка Продолжить не активна.","","Отображается всплывающее сообщение ""Данные некорректны. Введите полные имя и фамилию"".
Кнопка Продолжить не активна.","","","Очистить поля. 
Ввести 1 символ в поле ""Фамилия"" и/или ""Имя"".


","","","","","",""
